"STATE","LOCATION","AGE_GROUP","METRIC","TOTAL FINES"
"VIC","Unknown","40-64","unlicensed_driving",1853
"VIC","Unknown","65 and over","mobile_phone_use",543
"VIC","Unknown","65 and over","non_wearing_seatbelts",314
"VIC","Unknown","65 and over","speed_fines",15157
"VIC","Unknown","65 and over","unlicensed_driving",193
"VIC","Unknown","Under 17","mobile_phone_use",7
"VIC","Unknown","Under 17","non_wearing_seatbelts",9
"VIC","Unknown","Under 17","speed_fines",29
"VIC","Unknown","Under 17","unlicensed_driving",62
"VIC","Unknown","Unknown","mobile_phone_use",892
"VIC","Unknown","Unknown","non_wearing_seatbelts",705
"VIC","Unknown","Unknown","speed_fines",4829
"VIC","Unknown","Unknown","unlicensed_driving",3
"WA","Unknown","17-25","mobile_phone_use",1510
"WA","Unknown","17-25","non_wearing_seatbelts",909
"WA","Unknown","17-25","speed_fines",153501
"WA","Unknown","17-25","unlicensed_driving",895
"WA","Unknown","26-39","mobile_phone_use",3167
"WA","Unknown","26-39","non_wearing_seatbelts",1517
"WA","Unknown","26-39","speed_fines",390677
"WA","Unknown","26-39","unlicensed_driving",1741
"WA","Unknown","40-64","mobile_phone_use",2365
"WA","Unknown","40-64","non_wearing_seatbelts",1071
"WA","Unknown","40-64","speed_fines",588767
"WA","Unknown","40-64","unlicensed_driving",1238
"WA","Unknown","65 and over","mobile_phone_use",280
"WA","Unknown","65 and over","non_wearing_seatbelts",215
"WA","Unknown","65 and over","speed_fines",145816
"WA","Unknown","65 and over","unlicensed_driving",155
"WA","Unknown","Under 17","mobile_phone_use",1
"WA","Unknown","Under 17","non_wearing_seatbelts",2
"WA","Unknown","Under 17","speed_fines",1187
"WA","Unknown","Under 17","unlicensed_driving",0
"WA","Unknown","Unknown","non_wearing_seatbelts",1
"WA","Unknown","Unknown","speed_fines",372
"WA","Unknown","Unknown","unlicensed_driving",0
