"YEAR","STATE","METRIC","TOTAL FINES","TOTAL ARRESTS","TOTAL CHARGES"
2020,"WA","non_wearing_seatbelts",2804,0,0
2020,"WA","speed_fines",695586,0,0
2021,"ACT","mobile_phone_use",544,0,0
2021,"ACT","non_wearing_seatbelts",60,0,0
2021,"ACT","speed_fines",113807,0,0
2021,"NSW","mobile_phone_use",174082,0,0
2021,"NSW","non_wearing_seatbelts",9602,0,0
2021,"NSW","speed_fines",1452620,0,0
2021,"NT","mobile_phone_use",309,0,0
2021,"NT","non_wearing_seatbelts",1123,0,0
2021,"NT","speed_fines",38648,0,0
2021,"QLD","mobile_phone_use",18547,0,0
2021,"QLD","non_wearing_seatbelts",10397,0,0
2021,"QLD","speed_fines",978926,0,0
2021,"SA","mobile_phone_use",4799,0,0
2021,"SA","non_wearing_seatbelts",2684,0,0
2021,"SA","speed_fines",202693,0,0
2021,"TAS","mobile_phone_use",2328,0,0
2021,"TAS","non_wearing_seatbelts",1129,0,0
2021,"TAS","speed_fines",39228,0,0
2021,"VIC","mobile_phone_use",15562,0,0
2021,"VIC","non_wearing_seatbelts",6342,0,0
2021,"VIC","speed_fines",1231672,0,0
2021,"WA","mobile_phone_use",4909,0,0
2021,"WA","non_wearing_seatbelts",1856,0,0
2021,"WA","speed_fines",809544,0,0
2022,"ACT","mobile_phone_use",374,0,0
2022,"ACT","non_wearing_seatbelts",41,0,0
2022,"NSW","mobile_phone_use",207697,0,0
2022,"NSW","non_wearing_seatbelts",9722,0,0
2022,"NSW","speed_fines",1217596,0,0
2022,"NT","mobile_phone_use",302,0,0
2022,"NT","non_wearing_seatbelts",1166,0,0
2022,"NT","speed_fines",33642,0,0
2022,"QLD","mobile_phone_use",121639,0,0
2022,"QLD","non_wearing_seatbelts",55927,0,0
2022,"QLD","speed_fines",849399,0,0
2022,"SA","mobile_phone_use",4583,0,0
2022,"SA","non_wearing_seatbelts",3046,0,0
2022,"SA","speed_fines",186196,0,0
2022,"TAS","mobile_phone_use",1973,0,0
2022,"TAS","non_wearing_seatbelts",890,0,0
2022,"TAS","speed_fines",42737,0,0
2022,"VIC","mobile_phone_use",19428,0,0
2022,"VIC","non_wearing_seatbelts",7492,0,0
2022,"VIC","speed_fines",1378231,0,0
2022,"WA","mobile_phone_use",6346,0,0
2022,"WA","non_wearing_seatbelts",2186,0,0
2022,"WA","speed_fines",843541,0,0
2023,"ACT","mobile_phone_use",288,0,0
2023,"ACT","non_wearing_seatbelts",75,0,0
2023,"ACT","speed_fines",71961,0,0
2023,"ACT","unlicensed_driving",260,215,708
2023,"NSW","mobile_phone_use",216042,0,187
2023,"NSW","non_wearing_seatbelts",10246,0,267
2023,"NSW","speed_fines",881483,0,1393
2023,"NSW","unlicensed_driving",7859,0,30836
2023,"NT","mobile_phone_use",205,5,14
2023,"NT","non_wearing_seatbelts",789,47,348
2023,"NT","speed_fines",43306,44,215
2023,"NT","unlicensed_driving",366,515,1712
2023,"QLD","mobile_phone_use",80292,0,0
2023,"QLD","non_wearing_seatbelts",37530,0,0
2023,"QLD","speed_fines",860626,0,0
2023,"QLD","unlicensed_driving",27701,0,0
2023,"SA","mobile_phone_use",5769,0,0
